Match Number,MD,Team 1,Team 2,Day,Time
238,7,DCK,NPC,"Tue, Dec 2",7:00 PM
239,7,BNC,MCH,"Tue, Dec 2",7:35 PM
240,7,TOE,MSQ,"Tue, Dec 2",8:10 PM
241,7,HRM,DTF,"Tue, Dec 2",8:45 PM
242,7,GGS,DOG,"Tue, Dec 2",9:20 PM
243,8,MFC,VSH,"Fri, Dec 5",7:00 PM
244,8,WCS,LBJ,"Fri, Dec 5",7:35 PM
245,8,DCK,RFT,"Fri, Dec 5",8:10 PM
246,8,DOG,SWF,"Fri, Dec 5",8:45 PM
247,8,TGS,NFC,"Fri, Dec 5",9:20 PM
248,9,MFC,DTF,"Wed, Dec 10",7:00 PM
249,9,TOE,BNC,"Wed, Dec 10",7:35 PM
250,9,MSQ,MCH,"Wed, Dec 10",8:10 PM
251,9,RFT,NPC,"Wed, Dec 10",8:45 PM
252,9,GGS,SWF,"Wed, Dec 10",9:20 PM
253,10,DCK,DOG,"Fri, Dec 12",7:00 PM
254,10,TGS,VSH,"Fri, Dec 12",7:35 PM
255,10,WCS,BNC,"Fri, Dec 12",8:10 PM
256,10,SWF,RFT,"Fri, Dec 12",8:45 PM
257,10,MSQ,LBJ,"Fri, Dec 12",9:20 PM
