Team 1,Team 2,Season,Group,Match ID,Score Team 1,Score Team 2,Time,Season,Red Card Team 1,Red Card Team 2,Win Team 1,Win Team 2
BBF,L7F,1,A,0,11,1,Final,S1,0,0,1,0
MCH,SWF,1,B,1,8,2,Final,S1,0,0,1,0
NPC,HBD,1,A,2,5,2,Final,S1,0,0,1,0
FCB,HPA,1,B,3,6,1,Final,S1,0,0,1,0
WCS,HBD,1,A,4,1,5,Final,S1,0,0,0,1
HVB,HPA,1,B,5,1,10,Final,S1,0,0,0,1
NFC,TUE,1,A,6,9,1,Final,S1,0,0,1,0
MFC,WSR,1,B,7,2,2,Final,S1,0,0,0,0
BBF,WCS,1,A,8,9,1,Final,S1,0,0,1,0
MCH,HVB,1,B,9,8,2,Final,S1,1,0,1,0
NPC,TUE,1,A,10,6,0,Final,S1,0,0,1,0
MFC,SWF,1,B,11,5,0,Forfeit,S1,0,0,1,0
FCB,WSR,1,B,12,2,6,Final,S1,0,0,0,1
HBD,BBF,1,A,13,1,5,Final,S1,0,0,0,1
NFC,L7F,1,A,14,5,0,Forfeit,S1,0,0,1,0
HPA,WSR,1,B,15,1,8,Final,S1,0,0,0,1
WCS,NFC,1,A,16,0,7,Final,S1,0,0,0,1
HVB,MFC,1,B,17,0,16,Final,S1,0,0,0,1
MCH,HPA,1,B,18,7,1,Final,S1,0,0,1,0
TUE,L7F,1,A,19,1,3,Final,S1,0,0,0,1
WSR,HVB,1,B,20,12,1,Final,S1,1,0,1,0
NPC,BBF,1,A,21,2,2,Final,S1,0,0,0,0
MFC,FCB,1,B,22,2,1,Final,S1,0,0,1,0
NFC,HBD,1,A,23,3,1,Final,S1,0,0,1,0
NPC,L7F,1,A,24,11,4,Final,S1,0,0,1,0
WSR,SWF,1,B,25,5,2,Final,S1,0,0,1,0
TUE,WCS,1,A,26,4,2,Final,S1,0,0,1,0
FCB,SWF,1,B,27,3,2,Final,S1,0,0,1,0
TUE,HBD,1,A,28,1,3,Final,S1,0,0,0,1
WCS,L7F,1,A,29,1,2,Final,S1,0,0,0,1
NPC,NFC,1,A,30,2,2,Final,S1,0,0,0,0
MFC,HPA,1,B,31,6,0,Final,S1,0,0,1,0
