Season,Match,Team,Opponent,Team Rating,Rating Change,Goals,Goals Allowed,Shots,Assists,Saves,xG,Covr Rate,Save Percent,Yellow Cards,Red Cards,Time
1,0,BBF,L7F,98.17,0.0,11,1,19,8,11,6.98,0.58,0.92,0,0,Final
1,0,L7F,BBF,19.5,0.0,1,11,12,1,8,0.63,0.08,0.42,0,0,Final
1,1,MCH,SWF,68.4,0.0,8,2,14,4,7,5.54,0.57,0.78,0,0,Final
1,1,SWF,MCH,22.78,0.0,2,8,9,0,6,1.38,0.22,0.43,0,0,Final
1,2,NPC,HBD,51.4,0.0,5,2,11,1,10,3.94,0.45,0.83,0,0,Final
1,2,HBD,NPC,24.87,0.0,2,5,12,1,6,1.57,0.17,0.55,0,0,Final
1,3,FCB,HPA,76.36,0.0,6,1,25,3,6,5.07,0.24,0.86,0,0,Final
1,3,HPA,FCB,19.98,0.0,1,6,7,1,19,0.85,0.14,0.76,0,0,Final
1,4,WCS,HBD,16.68,0.0,1,5,9,0,10,0.91,0.11,0.67,0,0,Final
1,4,HBD,WCS,41.39,16.28,5,1,15,2,8,4.53,0.33,0.89,0,0,Final
1,5,HVB,HPA,14.41,0.0,1,10,6,0,16,0.86,0.17,0.62,0,0,Final
1,5,HPA,HVB,40.81,21.07,10,1,26,2,5,8.62,0.38,0.83,2,0,Final
1,6,NFC,TUE,87.79,0.0,9,1,9,5,0,7.61,1.0,0.0,0,0,Final
1,6,TUE,NFC,18.49,0.0,1,9,1,0,0,0.85,1.0,0.0,0,0,Final
1,7,MFC,WSR,34.97,0.0,2,2,2,2,8,1.82,1.0,0.8,0,0,Final
1,7,WSR,MFC,34.97,0.0,2,2,10,2,0,1.82,0.2,0.0,0,0,Final
1,8,BBF,WCS,76.48,-15.35,9,1,23,4,4,8.01,0.39,0.8,0,0,Final
1,8,WCS,BBF,17.21,0.38,1,9,5,0,14,0.89,0.2,0.61,0,0,Final
1,9,MCH,HVB,33.56,-34.52,8,2,19,5,3,7.0,0.42,0.6,2,1,Final
1,9,HVB,MCH,16.55,2.0,2,8,5,0,11,1.75,0.4,0.58,0,0,Final
1,10,NPC,TUE,100.0,7.08,6,0,6,4,9,5.4,1.0,1.0,0,0,Final
